event_id,timestamp,user_id,device_id,event_type,source_ip,source_port,destination_ip,destination_port,process,parent_process,resource,ioc_match,matched_ioc_id,matched_ioc_type,matched_ioc_value,threat_name,ioc_severity,ioc_confidence,ioc_source
RT-4ef1649821c8,2026-09-09T13:39:47.648487+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,System Idle Process,,PID:0,False,,,,,,,
RT-4d3477566590,2026-09-09T13:39:47.679369+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,System,,PID:4,False,,,,,,,
RT-761d5872260c,2026-09-09T13:39:47.710138+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,unknown,System,PID:236,False,,,,,,,
RT-cf7bacbf0a25,2026-09-09T13:39:47.735587+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,Registry,System,PID:280,False,,,,,,,
RT-ec98bd60c783,2026-09-09T13:39:47.760861+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,DataExchangeHost.exe,svchost.exe,PID:440,False,,,,,,,
RT-22e701af591d,2026-09-09T13:39:47.790938+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,chrome.exe,chrome.exe,PID:748,False,,,,,,,
RT-6d88356c3167,2026-09-09T13:39:47.819677+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,svchost.exe,services.exe,PID:816,False,,,,,,,
RT-c2729c0f20c4,2026-09-09T13:39:47.849936+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,smss.exe,System,PID:836,False,,,,,,,
RT-f81d99fbec15,2026-09-09T13:39:47.875620+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,svchost.exe,services.exe,PID:956,False,,,,,,,
RT-5807c6469c5a,2026-09-09T13:39:47.903705+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,Antigravity IDE.exe,Antigravity IDE.exe,PID:1012,False,,,,,,,
RT-5537d3be130a,2026-09-09T13:39:47.935863+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,csrss.exe,,PID:1152,False,,,,,,,
RT-5eb26a0dc518,2026-09-09T13:39:47.965597+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,svchost.exe,services.exe,PID:1228,False,,,,,,,
RT-f41c23e625c9,2026-09-09T13:39:47.992486+00:00,Asus,KISHAN,PROCESS_EXECUTION,192.168.56.1,,,,wininit.exe,,PID:1236,False,,,,,,,
