user_id,login_frequency,file_access_frequency,process_execution_frequency,network_connection_frequency,ioc_matches,anomaly_label,anomaly_score
U001,2,2,2,3,0,1,0.16899398341859562
U002,1,4,6,3,0,1,0.0865366357556519
U003,2,3,2,2,0,1,0.16787610634362932
U004,1,4,2,3,0,1,0.1503792462057107
U005,5,2,2,5,0,1,0.11786529126892736
U006,3,1,5,0,0,1,0.05314933170599839
U007,1,4,2,2,0,1,0.1483517768839187
U008,1,4,2,2,0,1,0.1483517768839187
U009,1,4,2,1,0,1,0.10430433886268758
U010,2,1,3,2,0,1,0.1318042186205367
U011,0,3,3,4,0,1,0.07948330784322372
U012,4,5,2,3,0,1,0.1399990486680467
U013,1,2,4,2,0,1,0.14914063453823945
U014,3,6,4,2,0,1,0.13121275774481211
U015,6,0,0,6,0,-1,-0.05148932130610484
U016,2,2,4,4,0,1,0.15611443023651056
U017,3,4,5,2,0,1,0.13840924649510922
U018,4,4,4,3,0,1,0.1512138258964994
U019,2,3,2,3,0,1,0.17609437492075874
U020,1,4,4,2,0,1,0.15048787619170528
U021,2,3,3,3,0,1,0.17586893390241382
U022,3,2,4,2,0,1,0.16549247183917615
U023,5,3,3,4,0,1,0.14414774816468057
U024,5,3,3,3,0,1,0.15148021905850362
U025,4,3,2,6,0,1,0.12517096153316454
U026,2,2,5,3,0,1,0.1543094923355659
U027,2,2,4,2,0,1,0.17017051797905763
U028,4,2,2,3,0,1,0.16054999225016775
U029,3,3,1,3,0,1,0.15243254233472897
U030,2,2,3,1,0,1,0.11757590991797762
U031,2,1,2,6,0,1,0.078237963317422
U032,2,1,2,5,0,1,0.11416845699683692
U033,1,6,4,2,0,1,0.10076634880419749
U034,4,1,5,2,0,1,0.11809106120176932
U035,3,2,3,4,0,1,0.15411451761367662
U036,4,3,3,4,0,1,0.16182309622470498
U037,1,4,5,5,0,1,0.09727630967276868
U038,0,2,4,2,0,1,0.08271795401035237
U039,1,4,2,3,0,1,0.1503792462057107
U040,3,2,1,3,0,1,0.14135083404876736
U041,4,4,1,5,0,1,0.10544397641932207
U042,2,5,0,3,0,1,0.058998302447097195
U043,0,5,4,2,0,1,0.05372465578936919
U044,3,7,1,4,0,1,0.040882415108077774
U045,4,3,2,6,0,1,0.12517096153316454
U046,7,1,1,3,0,1,0.05892164030180175
U047,1,2,4,6,0,1,0.0701453362893753
U048,2,2,2,2,0,1,0.1624421368927288
U049,2,5,3,3,0,1,0.14344543750248356
U050,4,3,2,5,0,1,0.14915238689986166
U051,1,3,5,4,0,1,0.12977740839559498
U052,2,2,1,5,0,1,0.11621550646141443
U053,3,2,3,3,0,1,0.16989722041658278
U054,4,5,0,2,0,1,0.05920559538347692
U055,8,1,3,3,0,1,0.040310545380186746
U056,5,3,3,3,0,1,0.15148021905850362
U057,5,2,4,4,0,1,0.12200657599087839
U058,2,4,2,6,0,1,0.10154690066357597
U059,1,4,3,2,0,1,0.14434598808545884
U060,4,2,4,2,0,1,0.15563376040035604
U061,3,4,3,3,0,1,0.16191255769682583
U062,3,3,1,5,0,1,0.13173551797731042
U063,3,3,2,6,0,1,0.12040105916700677
U064,3,3,2,2,0,1,0.16537835408037238
U065,1,4,5,2,0,1,0.13667571769213793
U066,6,4,2,3,0,1,0.10673141060578328
U067,3,2,5,3,0,1,0.15074859980671096
U068,0,3,2,3,0,1,0.07912773296033948
U069,3,1,5,0,0,1,0.05314933170599839
U070,5,4,2,4,0,1,0.12774759729029378
U071,2,4,2,5,0,1,0.1378811927487283
U072,2,3,4,5,0,1,0.1390499986589253
U073,2,2,7,2,0,1,0.056996407452211295
U074,3,3,1,1,0,1,0.10222356924690318
U075,8,3,1,2,0,1,0.037313025220669926
U076,4,3,5,2,0,1,0.13862304873272485
U077,2,6,2,2,0,1,0.12179080632017975
U078,4,3,3,3,0,1,0.1728256662439851
U079,5,5,1,3,0,1,0.09309979479702224
U080,2,3,1,5,0,1,0.12745423173054354
U081,4,6,3,1,0,1,0.08716399177113854
U082,1,3,7,1,0,1,0.01078371585379867
U083,3,6,4,2,0,1,0.13121275774481211
U084,1,2,5,2,0,1,0.12927626298016925
U085,5,1,1,2,0,1,0.0847225678688927
U086,1,1,3,4,0,1,0.09834999345203149
U087,1,0,4,5,0,1,0.04430930622909035
U088,4,3,1,4,0,1,0.13596055935918233
U089,4,0,4,2,0,1,0.07823837640095477
U090,1,4,5,4,0,1,0.1280595491503843
U091,7,9,5,5,0,1,0.0020981870626275434
U092,8,9,5,4,8,-1,-0.06501042458544237
U093,7,12,6,12,10,-1,-0.15524017687950598
U094,8,6,5,6,3,-1,-0.018883683563648224
U095,7,9,4,5,5,-1,-0.04004726306411788
U096,9,7,4,16,11,-1,-0.18738628206436347
U097,8,7,9,10,9,-1,-0.1297672979221428
U098,10,11,8,8,9,-1,-0.15205228964461148
U099,9,8,5,6,4,-1,-0.03823429150850022
U100,4,10,5,9,4,-1,-0.09213792284041677
