window_start,total_events,process_execution_frequency,network_connection_frequency,file_activity_frequency,session_activity_frequency,system_activity_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst_rate,network_burst_rate,process_diversity,destination_diversity,process_network_ratio,new_process_ratio,ioc_matches,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent
2026-09-10T13:02:32.295424+00:00,3,3,0,0,0,0,2,0,0,3,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T13:03:32.295424+00:00,12,4,8,0,0,0,7,6,3,3,8,175.0,75.0,0.5,0.5714,0,0.0,0.0,0.0,0.0
2026-09-10T13:04:32.295424+00:00,6,1,5,0,0,0,3,2,3,1,3,300.0,40.0,0.2,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T13:06:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:07:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:08:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:10:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:11:32.295424+00:00,4,4,0,0,0,0,4,0,0,2,0,100.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:12:32.295424+00:00,3,3,0,0,0,0,1,0,0,3,0,33.3333,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:14:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:15:32.295424+00:00,3,3,0,0,0,0,2,0,0,2,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T13:17:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:18:32.295424+00:00,5,2,3,0,0,0,2,3,1,1,3,100.0,100.0,0.6667,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:19:32.295424+00:00,4,3,1,0,0,0,2,1,1,3,1,66.6667,100.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T13:20:32.295424+00:00,7,1,6,0,0,0,3,3,2,1,5,300.0,50.0,0.1667,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T13:22:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:23:32.295424+00:00,13,12,1,0,0,0,5,1,1,12,1,41.6667,100.0,12.0,0.6,0,0.0,0.0,0.0,0.0
2026-09-10T13:24:32.295424+00:00,4,4,0,0,0,0,1,0,0,4,0,25.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:25:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:26:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:27:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:29:32.295424+00:00,2,2,0,0,0,0,2,0,0,1,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:30:32.295424+00:00,7,7,0,0,0,0,5,0,0,7,0,71.4286,0.0,7.0,0.8,0,0.0,0.0,0.0,0.0
2026-09-10T13:32:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:33:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:34:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:36:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:37:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:38:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:39:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:40:32.295424+00:00,6,6,0,0,0,0,3,0,0,3,0,50.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:41:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:42:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:43:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T13:44:32.295424+00:00,3,3,0,0,0,0,2,0,0,2,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T13:45:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:08:32.295424+00:00,10,3,7,0,0,0,5,5,3,3,7,166.6667,71.4286,0.4286,0.4,0,0.0,0.0,0.0,0.0
2026-09-10T14:09:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:10:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:11:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:13:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:14:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
