window_start,process_execution_frequency,network_connection_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst,network_burst,process_diversity,destination_diversity,process_network_ratio,new_processes_ratio,new_destination_ratio,established_ratio,syn_sent_ratio,closed_ratio,ioc_matches
2026-09-10T13:02:00+0000,3,0,2,0,0,0.5,0.0,0.6667,0.0,3.0,0.6667,0.0,0.0,0.0,0.0,0
2026-09-10T13:03:00+0000,4,8,3,6,3,0.6667,1.3333,0.75,0.75,0.5,0.5,0.75,0.0,0.0,0.0,0
2026-09-10T13:04:00+0000,1,2,1,1,1,0.1667,0.3333,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0
2026-09-10T13:05:00+0000,0,3,0,2,2,0.0,0.5,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0
2026-09-10T13:06:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:07:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:08:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:09:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:10:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:11:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:12:00+0000,6,0,4,0,0,1.0,0.0,0.6667,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0
2026-09-10T13:14:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:15:00+0000,2,0,1,0,0,0.3333,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:16:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:17:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:18:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:19:00+0000,4,4,1,3,1,0.6667,0.6667,0.25,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0
2026-09-10T13:20:00+0000,0,1,0,1,1,0.0,0.1667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:21:00+0000,1,5,1,2,2,0.1667,0.8333,1.0,0.4,0.2,1.0,0.4,0.0,0.0,0.0,0
2026-09-10T13:23:00+0000,13,0,4,0,0,2.1667,0.0,0.3077,0.0,13.0,0.2308,0.0,0.0,0.0,0.0,0
2026-09-10T13:24:00+0000,0,1,0,1,1,0.0,0.1667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2026-09-10T13:25:00+0000,5,0,1,0,0,0.8333,0.0,0.2,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0
2026-09-10T13:26:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:27:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:28:00+0000,0,1,0,1,1,0.0,0.1667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2026-09-10T13:29:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:30:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:31:00+0000,7,0,5,0,0,1.1667,0.0,0.7143,0.0,7.0,0.7143,0.0,0.0,0.0,0.0,0
2026-09-10T13:32:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:33:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:34:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:35:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:36:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:37:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:38:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:39:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:40:00+0000,5,0,3,0,0,0.8333,0.0,0.6,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0
2026-09-10T13:41:00+0000,2,0,2,0,0,0.3333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:42:00+0000,2,0,2,0,0,0.3333,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:43:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:44:00+0000,2,0,1,0,0,0.3333,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T13:45:00+0000,3,0,2,0,0,0.5,0.0,0.6667,0.0,3.0,0.3333,0.0,0.0,0.0,0.0,0
2026-09-10T14:08:00+0000,3,7,2,5,3,0.5,1.1667,0.6667,0.7143,0.4286,0.6667,0.7143,0.0,0.0,0.0,0
2026-09-10T14:10:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:11:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:12:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:13:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:14:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:15:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2026-09-10T14:16:00+0000,1,0,1,0,0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
