user_id,login_frequency,file_access_frequency,process_execution_frequency,network_connection_frequency,ioc_matches,anomaly_label,anomaly_score,risk_score,risk_level
U098,10,11,8,8,9,-1,-0.1520522896446114,94.0,CRITICAL
U093,7,12,6,12,10,-1,-0.1552401768795059,93.0,CRITICAL
U097,8,7,9,10,9,-1,-0.1297672979221428,90.5,CRITICAL
U100,4,10,5,9,4,-1,-0.0921379228404167,89.5,CRITICAL
U096,9,7,4,16,11,-1,-0.1873862820643634,86.5,CRITICAL
U092,8,9,5,4,8,-1,-0.0650104245854423,85.5,CRITICAL
U099,9,8,5,6,4,-1,-0.0382342915085002,85.0,CRITICAL
U095,7,9,4,5,5,-1,-0.0400472630641178,84.0,CRITICAL
U094,8,6,5,6,3,-1,-0.0188836835636482,81.0,CRITICAL
U015,6,0,0,6,0,-1,-0.0514893213061048,38.0,MEDIUM
U091,7,9,5,5,0,1,0.0020981870626275,26.0,LOW
U002,1,4,6,3,0,1,0.0865366357556519,19.5,LOW
U082,1,3,7,1,0,1,0.0107837158537986,19.0,LOW
U037,1,4,5,5,0,1,0.0972763096727686,18.5,LOW
U014,3,6,4,2,0,1,0.1312127577448121,18.0,LOW
U083,3,6,4,2,0,1,0.1312127577448121,18.0,LOW
U073,2,2,7,2,0,1,0.0569964074522112,18.0,LOW
U033,1,6,4,2,0,1,0.1007663488041974,18.0,LOW
U090,1,4,5,4,0,1,0.1280595491503843,18.0,LOW
U017,3,4,5,2,0,1,0.1384092464951092,17.0,LOW
U065,1,4,5,2,0,1,0.1366757176921379,17.0,LOW
U043,0,5,4,2,0,1,0.0537246557893691,16.5,LOW
U051,1,3,5,4,0,1,0.1297774083955949,16.5,LOW
U081,4,6,3,1,0,1,0.0871639917711385,15.5,LOW
U076,4,3,5,2,0,1,0.1386230487327248,15.5,LOW
U018,4,4,4,3,0,1,0.1512138258964994,15.5,LOW
U049,2,5,3,3,0,1,0.1434454375024835,15.0,LOW
U072,2,3,4,5,0,1,0.1390499986589253,15.0,LOW
U020,1,4,4,2,0,1,0.1504878761917052,15.0,LOW
U044,3,7,1,4,0,1,0.0408824151080777,14.5,LOW
U026,2,2,5,3,0,1,0.1543094923355659,14.5,LOW
U067,3,2,5,3,0,1,0.1507485998067109,14.5,LOW
U077,2,6,2,2,0,1,0.1217908063201797,14.0,LOW
U084,1,2,5,2,0,1,0.1292762629801692,14.0,LOW
U047,1,2,4,6,0,1,0.0701453362893753,14.0,LOW
U061,3,4,3,3,0,1,0.1619125576968258,13.5,LOW
U057,5,2,4,4,0,1,0.1220065759908783,13.0,LOW
U058,2,4,2,6,0,1,0.1015469006635759,13.0,LOW
U059,1,4,3,2,0,1,0.1443459880854588,13.0,LOW
U012,4,5,2,3,0,1,0.1399990486680467,13.0,LOW
U016,2,2,4,4,0,1,0.1561144302365105,13.0,LOW
U071,2,4,2,5,0,1,0.1378811927487283,12.5,LOW
U036,4,3,3,4,0,1,0.1618230962247049,12.5,LOW
U034,4,1,5,2,0,1,0.1180910612017693,12.5,LOW
U023,5,3,3,4,0,1,0.1441477481646805,12.5,LOW
U011,0,3,3,4,0,1,0.0794833078432237,12.5,LOW
U060,4,2,4,2,0,1,0.155633760400356,12.0,LOW
U056,5,3,3,3,0,1,0.1514802190585036,12.0,LOW
U013,1,2,4,2,0,1,0.1491406345382394,12.0,LOW
U078,4,3,3,3,0,1,0.1728256662439851,12.0,LOW
U070,5,4,2,4,0,1,0.1277475972902937,12.0,LOW
U024,5,3,3,3,0,1,0.1514802190585036,12.0,LOW
U027,2,2,4,2,0,1,0.1701705179790576,12.0,LOW
U021,2,3,3,3,0,1,0.1758689339024138,12.0,LOW
U022,3,2,4,2,0,1,0.1654924718391761,12.0,LOW
U038,0,2,4,2,0,1,0.0827179540103523,12.0,LOW
U039,1,4,2,3,0,1,0.1503792462057107,11.5,LOW
U069,3,1,5,0,0,1,0.0531493317059983,11.5,LOW
U045,4,3,2,6,0,1,0.1251709615331645,11.5,LOW
U004,1,4,2,3,0,1,0.1503792462057107,11.5,LOW
U006,3,1,5,0,0,1,0.0531493317059983,11.5,LOW
U025,4,3,2,6,0,1,0.1251709615331645,11.5,LOW
U063,3,3,2,6,0,1,0.1204010591670067,11.5,LOW
U066,6,4,2,3,0,1,0.1067314106057832,11.5,LOW
U079,5,5,1,3,0,1,0.0930997947970222,11.0,LOW
U035,3,2,3,4,0,1,0.1541145176136766,11.0,LOW
U050,4,3,2,5,0,1,0.1491523868998616,11.0,LOW
U007,1,4,2,2,0,1,0.1483517768839187,11.0,LOW
U008,1,4,2,2,0,1,0.1483517768839187,11.0,LOW
U041,4,4,1,5,0,1,0.105443976419322,10.5,LOW
U009,1,4,2,1,0,1,0.1043043388626875,10.5,LOW
U087,1,0,4,5,0,1,0.0443093062290903,10.5,LOW
U053,3,2,3,3,0,1,0.1698972204165827,10.5,LOW
U068,0,3,2,3,0,1,0.0791277329603394,10.0,LOW
U019,2,3,2,3,0,1,0.1760943749207587,10.0,LOW
U064,3,3,2,2,0,1,0.1653783540803723,9.5,LOW
U086,1,1,3,4,0,1,0.0983499934520314,9.5,LOW
U005,5,2,2,5,0,1,0.1178652912689273,9.5,LOW
U030,2,2,3,1,0,1,0.1175759099179776,9.5,LOW
U003,2,3,2,2,0,1,0.1678761063436293,9.5,LOW
U089,4,0,4,2,0,1,0.0782383764009547,9.0,LOW
U062,3,3,1,5,0,1,0.1317355179773104,9.0,LOW
U080,2,3,1,5,0,1,0.1274542317305435,9.0,LOW
U055,8,1,3,3,0,1,0.0403105453801867,9.0,LOW
U042,2,5,0,3,0,1,0.0589983024470971,9.0,LOW
U054,4,5,0,2,0,1,0.0592055953834769,8.5,LOW
U028,4,2,2,3,0,1,0.1605499922501677,8.5,LOW
U031,2,1,2,6,0,1,0.078237963317422,8.5,LOW
U010,2,1,3,2,0,1,0.1318042186205367,8.5,LOW
U088,4,3,1,4,0,1,0.1359605593591823,8.5,LOW
U001,2,2,2,3,0,1,0.1689939834185956,8.5,LOW
U048,2,2,2,2,0,1,0.1624421368927288,8.0,LOW
U032,2,1,2,5,0,1,0.1141684569968369,8.0,LOW
U029,3,3,1,3,0,1,0.1524325423347289,8.0,LOW
U052,2,2,1,5,0,1,0.1162155064614144,7.5,LOW
U075,8,3,1,2,0,1,0.0373130252206699,7.5,LOW
U074,3,3,1,1,0,1,0.1022235692469031,7.0,LOW
U040,3,2,1,3,0,1,0.1413508340487673,6.5,LOW
U046,7,1,1,3,0,1,0.0589216403018017,5.0,LOW
U085,5,1,1,2,0,1,0.0847225678688927,4.5,LOW
