timestamp,user_id,device_id,source_ip,destination,event_type,process,resource,ioc_match
2026-09-01T09:00:00,U001,PC095,10.0.1.80,SERVER04,LOGIN,,,False
2026-09-01T09:12:00,U001,PC014,10.0.1.183,SERVER09,FILE_ACCESS,,projects,False
2026-09-01T09:19:00,U001,PC005,10.0.1.17,SERVER02,NETWORK_CONNECTION,,,False
2026-09-01T09:30:00,U001,PC078,10.0.1.16,SERVER09,FILE_ACCESS,,projects,False
2026-09-01T09:41:00,U001,PC029,10.0.1.124,SERVER10,NETWORK_CONNECTION,,,False
2026-09-01T09:54:00,U001,PC098,10.0.1.50,SERVER07,LOGIN,,,False
2026-09-01T10:09:00,U001,PC028,10.0.1.96,SERVER02,PROCESS_EXECUTION,vscode,,False
2026-09-01T10:16:00,U001,PC013,10.0.1.101,SERVER06,NETWORK_CONNECTION,,,False
2026-09-01T10:40:00,U001,PC094,10.0.1.127,SERVER09,PROCESS_EXECUTION,chrome,,False
2026-09-01T09:00:00,U002,PC071,10.0.1.85,SERVER10,LOGIN,,,False
2026-09-01T09:16:00,U002,PC009,10.0.1.21,SERVER04,FILE_ACCESS,,projects,False
2026-09-01T09:45:00,U002,PC030,10.0.1.35,SERVER07,PROCESS_EXECUTION,chrome,,False
2026-09-01T09:58:00,U002,PC082,10.0.1.103,SERVER03,NETWORK_CONNECTION,,,False
2026-09-01T10:14:00,U002,PC086,10.0.1.78,SERVER02,PROCESS_EXECUTION,vscode,,False
2026-09-01T10:38:00,U002,PC094,10.0.1.72,SERVER03,FILE_ACCESS,,projects,False
2026-09-01T10:57:00,U002,PC035,10.0.1.173,SERVER09,NETWORK_CONNECTION,,,False
2026-09-01T11:09:00,U002,PC030,10.0.1.18,SERVER06,PROCESS_EXECUTION,chrome,,False
2026-09-01T11:26:00,U002,PC028,10.0.1.155,SERVER06,PROCESS_EXECUTION,chrome,,False
2026-09-01T11:37:00,U002,PC051,10.0.1.174,SERVER08,NETWORK_CONNECTION,,,False
2026-09-01T11:46:00,U002,PC032,10.0.1.200,SERVER09,PROCESS_EXECUTION,vscode,,False
2026-09-01T12:08:00,U002,PC075,10.0.1.112,SERVER06,PROCESS_EXECUTION,office,,False
2026-09-01T12:20:00,U002,PC064,10.0.1.33,SERVER01,FILE_ACCESS,,projects,False
2026-09-01T12:28:00,U002,PC021,10.0.1.184,SERVER07,FILE_ACCESS,,projects,False
2026-09-01T09:00:00,U003,PC049,10.0.1.162,SERVER08,NETWORK_CONNECTION,,,False
2026-09-01T09:21:00,U003,PC088,10.0.1.194,SERVER02,PROCESS_EXECUTION,chrome,,False
2026-09-01T09:47:00,U003,PC015,10.0.1.85,SERVER07,PROCESS_EXECUTION,python,,False
2026-09-01T09:57:00,U003,PC001,10.0.1.194,SERVER05,NETWORK_CONNECTION,,,False
2026-09-01T10:18:00,U003,PC014,10.0.1.170,SERVER05,FILE_ACCESS,,projects,False
2026-09-01T10:43:00,U003,PC048,10.0.1.51,SERVER09,FILE_ACCESS,,documents,False
2026-09-01T11:12:00,U003,PC077,10.0.1.92,SERVER08,LOGIN,,,False
2026-09-01T11:17:00,U003,PC047,10.0.1.88,SERVER04,LOGIN,,,False
2026-09-01T11:23:00,U003,PC011,10.0.1.31,SERVER08,FILE_ACCESS,,projects,False
2026-09-01T09:00:00,U004,PC061,10.0.1.150,SERVER03,FILE_ACCESS,,projects,False
2026-09-01T09:13:00,U004,PC028,10.0.1.148,SERVER04,NETWORK_CONNECTION,,,False
2026-09-01T09:40:00,U004,PC086,10.0.1.176,SERVER06,PROCESS_EXECUTION,office,,False
2026-09-01T09:59:00,U004,PC016,10.0.1.73,SERVER04,NETWORK_CONNECTION,,,False
2026-09-01T10:06:00,U004,PC076,10.0.1.151,SERVER04,PROCESS_EXECUTION,chrome,,False
2026-09-01T10:29:00,U004,PC010,10.0.1.191,SERVER01,FILE_ACCESS,,documents,False
