window_start,process_execution_frequency,network_connection_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst,network_burst,process_diversity,destination_diversity,process_network_ratio,new_processes_ratio,new_destination_ratio,established_ratio,syn_sent_ratio,closed_ratio,ioc_matches,hour,weekday
2026-09-10T13:02:00+00:00,3,0,2,0,0,3,0,0.6666666666666666,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:03:00+00:00,4,8,3,6,3,3,8,0.75,0.75,0.5,0.6666666666666666,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:04:00+00:00,1,2,1,1,1,1,2,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:05:00+00:00,0,3,0,2,2,0,3,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0,13,3
2026-09-10T13:06:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:07:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:08:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:09:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:10:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:11:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:12:00+00:00,6,0,4,0,0,3,0,0.6666666666666666,0.0,6.0,0.75,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:14:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:15:00+00:00,2,0,1,0,0,2,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:16:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:17:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:18:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:19:00+00:00,4,4,1,3,1,3,3,0.25,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:20:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:21:00+00:00,1,5,1,2,2,1,5,1.0,0.4,0.2,1.0,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:23:00+00:00,13,0,4,0,0,11,0,0.3076923076923077,0.0,13.0,0.75,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:24:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:25:00+00:00,5,0,1,0,0,5,0,0.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:26:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:27:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:28:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:29:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:30:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:31:00+00:00,7,0,5,0,0,7,0,0.7142857142857143,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:32:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:33:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:34:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:35:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
