process_execution_frequency,network_connection_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst,network_burst,process_diversity,destination_diversity,process_network_ratio,new_processes_ratio,new_destination_ratio,established_ratio,syn_sent_ratio,closed_ratio,ioc_matches,attack_type,label,v4_prediction,v4_isolation_score,ml_component,behavior_component,temporal_persistence,v5_ensemble_score,v5_risk_score,v5_prediction,v5_severity,v5_1_prediction,v5_1_severity,v5_1_response
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.214101498827036,0.1297198919802611,0.0385554878111522,0.0,0.0809848125419316,8.098481254193167,0,LOW,0,LOW,ALLOW
2.0,0.0,2.0,0.0,0.0,0.3333,0.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.1825544725916962,0.2025318082762684,0.022728162487655,0.0,0.1170745351738614,11.707453517386142,0,LOW,0,LOW,ALLOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.0101463969020613,0.0,0.0025365992255153,0.2536599225515336,0,LOW,0,LOW,ALLOW
3.0714714518561843,0.0,2.109174955254114,5.0,2.0,0.5418793680902682,2.5,0.6804906167408051,0.7,2.91692164718352,0.3541752019923687,0.8,0.0,0.0,0.0,0.0,network_burst,1,1,-0.0079088388412364,0.6421294611916408,0.1712501911269357,0.2,0.4359837514371364,43.59837514371364,0,LOW,1,MEDIUM,MONITOR
3.7598205213280464,0.0,3.129244277769481,0.0,0.0,2.5,0.0,0.9795156387649882,0.0,0.9977168090703068,0.8,0.0,0.0,0.0,0.0,0.0,process_burst,1,0,0.0816789052881741,0.4353570295197306,0.0819256237631441,0.0,0.2599277721766379,25.992777217663793,0,LOW,0,LOW,ALLOW
3.0497869572393363,0.0,5.0,0.0,0.0,2.0,0.0,1.007501532507441,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,collection,1,0,0.038459290289164,0.5351097911961492,0.0631151291276823,0.0,0.3100891674398027,31.00891674398027,0,LOW,0,LOW,ALLOW
2.0,3.0,2.0,3.0,2.0,0.3333,0.5,1.0,1.0,0.6667,1.0,0.6667,0.0,0.0,0.0,0.0,normal,0,0,0.0237539425388572,0.5690503769588595,0.2000151651830926,0.0,0.3629814986231459,36.29814986231459,0,LOW,1,MEDIUM,MONITOR
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.0101463969020613,0.0,0.0025365992255153,0.2536599225515336,0,LOW,0,LOW,ALLOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.0101463969020613,0.0,0.0025365992255153,0.2536599225515336,0,LOW,0,LOW,ALLOW
4.0,1.0,2.0,1.0,1.0,0.6667,0.1667,0.5,1.0,4.0,0.25,1.0,0.0,0.0,0.0,0.0,normal,0,0,0.0778208957236789,0.4442614843289937,0.1713275587646591,0.0,0.2871757060721113,28.717570607211133,0,LOW,0,LOW,ALLOW
