threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,TP,TN,FP,FN
0,0.5084745762711864,0.5084745762711864,1.0,0.6741573033707865,1.0,0.0,240,0,232,0
1,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
2,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
3,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
4,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
5,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
6,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
7,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
8,0.711864406779661,0.6382978723404256,1.0,0.7792207792207793,0.5862068965517241,0.0,240,96,136,0
9,0.7648305084745762,0.6837606837606838,1.0,0.8121827411167513,0.47844827586206895,0.0,240,121,111,0
10,0.7648305084745762,0.6837606837606838,1.0,0.8121827411167513,0.47844827586206895,0.0,240,121,111,0
11,0.7648305084745762,0.6837606837606838,1.0,0.8121827411167513,0.47844827586206895,0.0,240,121,111,0
12,0.7923728813559322,0.7100591715976331,1.0,0.8304498269896193,0.4224137931034483,0.0,240,134,98,0
13,0.7923728813559322,0.7100591715976331,1.0,0.8304498269896193,0.4224137931034483,0.0,240,134,98,0
14,0.7923728813559322,0.7100591715976331,1.0,0.8304498269896193,0.4224137931034483,0.0,240,134,98,0
15,0.7923728813559322,0.7100591715976331,1.0,0.8304498269896193,0.4224137931034483,0.0,240,134,98,0
16,0.815677966101695,0.7339449541284404,1.0,0.8465608465608465,0.375,0.0,240,145,87,0
17,0.815677966101695,0.7339449541284404,1.0,0.8465608465608465,0.375,0.0,240,145,87,0
18,0.8199152542372882,0.7384615384615385,1.0,0.8495575221238938,0.36637931034482757,0.0,240,147,85,0
19,0.826271186440678,0.7453416149068323,1.0,0.8540925266903915,0.35344827586206895,0.0,240,150,82,0
20,0.8580508474576272,0.7817589576547231,1.0,0.8775137111517367,0.28879310344827586,0.0,240,165,67,0
21,0.864406779661017,0.7894736842105263,1.0,0.8823529411764706,0.27586206896551724,0.0,240,168,64,0
22,0.8813559322033898,0.8108108108108109,1.0,0.8955223880597015,0.2413793103448276,0.0,240,176,56,0
23,0.8813559322033898,0.8108108108108109,1.0,0.8955223880597015,0.2413793103448276,0.0,240,176,56,0
24,0.885593220338983,0.8163265306122449,1.0,0.898876404494382,0.23275862068965517,0.0,240,178,54,0
25,0.8622881355932204,0.8136200716845878,0.9458333333333333,0.8747591522157996,0.22413793103448276,0.05416666666666667,227,180,52,13
26,0.8347457627118644,0.8045112781954887,0.8916666666666667,0.8458498023715415,0.22413793103448276,0.10833333333333334,214,180,52,26
27,0.8199152542372882,0.8112449799196787,0.8416666666666667,0.8261758691206544,0.2025862068965517,0.15833333333333333,202,185,47,38
28,0.8305084745762712,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1724137931034483,0.16666666666666666,200,192,40,40
29,0.8305084745762712,0.8418803418803419,0.8208333333333333,0.8312236286919831,0.15948275862068967,0.17916666666666667,197,195,37,43
30,0.8305084745762712,0.8478260869565217,0.8125,0.8297872340425532,0.15086206896551724,0.1875,195,197,35,45
31,0.788135593220339,0.8465346534653465,0.7125,0.7737556561085973,0.1336206896551724,0.2875,171,201,31,69
32,0.7817796610169492,0.8624338624338624,0.6791666666666667,0.7599067599067599,0.11206896551724138,0.32083333333333336,163,206,26,77
33,0.788135593220339,0.8763440860215054,0.6791666666666667,0.7652582159624414,0.09913793103448276,0.32083333333333336,163,209,23,77
34,0.7902542372881356,0.8810810810810811,0.6791666666666667,0.7670588235294118,0.09482758620689655,0.32083333333333336,163,210,22,77
35,0.7902542372881356,0.8895027624309392,0.6708333333333333,0.7648456057007126,0.08620689655172414,0.32916666666666666,161,212,20,79
36,0.788135593220339,0.9069767441860465,0.65,0.7572815533980582,0.06896551724137931,0.35,156,216,16,84
37,0.7838983050847458,0.9107142857142857,0.6375,0.75,0.06465517241379311,0.3625,153,217,15,87
38,0.7838983050847458,0.9207317073170732,0.6291666666666667,0.7475247524752475,0.05603448275862069,0.37083333333333335,151,219,13,89
39,0.7711864406779662,0.9177215189873418,0.6041666666666666,0.7286432160804021,0.05603448275862069,0.3958333333333333,145,219,13,95
40,0.7690677966101694,0.9225806451612903,0.5958333333333333,0.7240506329113924,0.05172413793103448,0.4041666666666667,143,220,12,97
41,0.7690677966101694,0.9225806451612903,0.5958333333333333,0.7240506329113924,0.05172413793103448,0.4041666666666667,143,220,12,97
42,0.7542372881355932,0.918918918918919,0.5666666666666667,0.7010309278350515,0.05172413793103448,0.43333333333333335,136,220,12,104
43,0.7330508474576272,0.9130434782608695,0.525,0.6666666666666666,0.05172413793103448,0.475,126,220,12,114
44,0.722457627118644,0.9097744360902256,0.5041666666666667,0.6487935656836461,0.05172413793103448,0.49583333333333335,121,220,12,119
45,0.7033898305084746,0.9098360655737705,0.4625,0.6132596685082873,0.04741379310344827,0.5375,111,221,11,129
46,0.6927966101694916,0.905982905982906,0.44166666666666665,0.5938375350140056,0.04741379310344827,0.5583333333333333,106,221,11,134
47,0.6822033898305084,0.9017857142857143,0.42083333333333334,0.5738636363636364,0.04741379310344827,0.5791666666666667,101,221,11,139
48,0.673728813559322,0.9056603773584906,0.4,0.5549132947976878,0.04310344827586207,0.6,96,222,10,144
49,0.6567796610169492,0.90625,0.3625,0.5178571428571429,0.03879310344827586,0.6375,87,223,9,153
50,0.652542372881356,0.9130434782608695,0.35,0.5060240963855421,0.034482758620689655,0.65,84,224,8,156
51,0.6377118644067796,0.9058823529411765,0.32083333333333336,0.47384615384615386,0.034482758620689655,0.6791666666666667,77,224,8,163
